date,sub,FLOW,FLOW_lag1,FLOW_lag2,FLOW_lag3,TN,TN_lag1,TN_lag2,TN_lag3,TP,TP_lag1,TP_lag2,TP_lag3,PCP,PCP_lag1,PCP_lag2,PCP_lag3,wt,chl,Green,Red,Blue_Green,Red_NIR
2021-09-13,29,38.0,49.0,63.4,81.2,2.092470760233918,1.5613189720332576,1.2632901039841102,1.3241767013318737,0.0024518762183235866,0.0033068783068783067,0.004472631148498656,0.008965631271665754,0.0,0.0,0.0,0.0,25.5,39.9,0.0704795737913485,0.0696485559796437,0.559998982572235,0.713870534368484
2021-09-29,29,34.9,31.2,39.0,49.0,3.449007747002016,3.6948005698005693,1.8192070275403607,1.3747165532879817,0.07362304998408149,0.016359508547008544,0.0025997150997150993,0.0042753212396069535,21.0,2.0,0.0,0.0,22.8,9.0,0.0758900230263158,0.0701799013157894,0.573342495472966,0.645785234515025
2021-10-06,29,20.4,24.0,28.4,32.6,3.7105119825708064,2.8163580246913575,2.1436489306207616,1.9029765962281298,0.015034949164851126,0.0029803240740740736,0.005297991653625456,0.006816632583503748,0.0,0.0,0.0,0.0,23.5,14.9,0.0696262422796181,0.0658989331836046,0.803442126845053,1.0378139605203
2021-10-12,29,18.3,18.6,14.9,15.4,3.8453754300748835,3.6340103544404614,4.567486950037285,3.7578162578162573,0.014799635701275043,0.10516228594185582,0.017788342033308473,0.010146103896103894,0.0,12.5,1.5,0.0,20.3,12.5,0.0696262422796181,0.0658989331836046,0.803442126845053,1.0378139605203
2021-10-18,29,16.0,16.9,17.1,15.7,3.7688078703703702,3.116096866096866,4.372427983539094,4.364236848313281,0.00904224537037037,0.015683212798597412,0.06355588044184535,0.05801781080443501,0.0,0.0,5.5,6.0,14.3,3.8,0.0586907856234096,0.0589399650127226,0.673023825440738,0.795589637213377
2021-10-27,29,10.0,10.4,10.8,11.5,5.68287037037037,6.432514245014245,5.486968449931412,4.066022544283414,0.004097222222222223,0.007734597578347578,0.02004029492455418,0.006199677938808374,0.0,0.0,0.0,0.0,16.4,4.5,0.0541538701710258,0.0524422370712624,0.8073741081490757,0.7623257251203915
2021-11-02,29,7.7,7.83,8.04,8.47,6.463443963443963,5.9718083345158695,5.571102819237148,6.162818662818662,0.0038480038480038477,0.002705051795090109,0.002979892205638474,0.003347872666054484,0.0,0.0,0.0,0.0,16.2,6.0,0.0756991437394722,0.071584222346996,0.960476012638336,0.828820780993672
2021-11-17,29,13.1,15.5,18.6,22.3,4.700310998020921,3.942652329749104,3.3602150537634405,2.4393788407241317,0.0036400904721515404,0.004256272401433692,0.0036277877339705293,0.0039393373193821616,0.0,0.0,0.0,0.0,11.3,6.3,0.0762421484493872,0.0740474928627097,0.801167545446574,0.7491700330598989
2021-11-24,29,8.87,9.02,9.01,7.56,5.81965844085348,5.235279625523528,6.02468450692646,6.491279639427788,0.007059271785878326,0.01757924776217459,0.11471307600608377,0.003138472467176171,0.0,0.0,2.5,0.0,9.7,9.5,0.0661372765585241,0.0670610631361322,0.7343817085611546,0.803961555204063
2021-11-30,29,30.2,6.72,7.02,7.49,2.866691194505764,7.337136243386243,7.089532552495515,6.876452554022647,0.3683008339465293,0.0050636574074074065,0.004451566951566952,0.0045430944963655235,22.0,0.0,0.0,0.0,9.8,19.3,0.0404427007299269,0.0416290567097136,0.633224999042418,0.778729436553856
